id,code,route,itinerary_title,start_area,end_area,estimated_duration,main_activities,accommodation_status,customer_tips,overview,breakfast,lunch,dinner,meals_notes
11,BALI-BONDOWOSO,Bali Hotel - Gilimanuk Ferry - Bondowoso (Ijen Area),Crossing the Strait to the Foot of Ijen: From Bali to Bondowoso,Bali Hotel,Bondowoso (Ijen Area),7 - 8 Hours,"Land travel, ferry crossing, check-in,Health Check (MCU) at the hotel.",Check-in & Stayat hotels/homestays in the Bondowoso area.,"MCU: This is a mandatory procedure from the National Park. The screening is very simple and quick, involving only a basic check of your vital signs such as blood pressure to ensure you are fit to climb. MCU Fee: The MCU is already included in the package","This island-hopping adventure takes you from the beaches of Bali to the highlands of Ijen. After the long journey and check-in, medical personnel will come to your hotel for a comfortable, mandatory medical check-up. Afterward, you can relax and enjoy the dinner we've prepared.",f,f,t,
12,BALI-BROMO,Bali Hotel - Gilimanuk Ferry - Cemoro Lawang (Bromo Area),Marathon Expedition: From Bali Beaches to Mount Bromo,Bali Hotel,Cemoro Lawang (Bromo Area),10 - 12 Hours,"Very long overland journey, ferry crossing, check-in at Bromo.",Check-in & Stayat hotels/homestays in the Bromo area.,"","Get ready for an epic day of travel! This route is designed for true adventurers, taking you from Bali, across the strait, and straight on to a long overland journey across East Java to Mount Bromo. You'll witness the most dramatic landscape changes in a single day.",f,f,f,
14,IJEN-BROMO-TRANSFER,Ijen Area - Ijen Tour - Cemoro Lawang (Bromo Area),From Two Peaks: Ijen Adventure Continues to Mount Bromo,Ijen Area,Bromo Area,Full Day (after Ijen tour).,"Ijen tour, long transfer, check-in at Bromo.","Check-outfrom Ijen,Check-in & Stayin Bromo.",Take advantage of the long journey to rest after waking up very early.,"After conquering Ijen, your adventure continues west. Enjoy our prepared lunch to refuel before embarking on the long overland journey to the majestic volcanic landscape of Bromo.",t,t,f,
15,IJEN-PAPUMA-JEMBER,Ijen Area - Ijen Tour - Papuma Beach - Jember,From the Blue Fire of Ijen to the Golden Sunset of Papuma,Ijen Area,Jember,A Full Day (very long).,"Ijen hike, coffee plantation visit, enjoying sunset on the beach.","Check-outfrom Ijen,Check-in & Stayin Jember.",It was a very long and tiring day.,"Today was a mix of extreme adventure and relaxation. We began with a climb to Ijen, followed by lunch to recharge. Afterward, we headed south to the coast to close the day with a sunset at Papuma Beach.",t,t,f,
16,BWI-BANGSRING-TOUR,Banyuwangi Hotel - Bangsring Underwater Tour - Banyuwangi Hotel,Underwater Charm: Snorkeling & Conservation at Bangsring Underwater,Banyuwangi Hotel,Banyuwangi Hotel,4 - 5 Hours,"Snorkeling, visiting floating houses, interaction with sharks in captivity.",Back to Hotel.,Use reef-friendly sunscreen. Bring an underwater camera if you have one.,"Start your day with a leisurely breakfast at the hotel. Afterward, leave the land for a brief underwater adventure. From Banyuwangi, we'll head to Bangsring, where you can snorkel in crystal-clear waters, see beautiful coral reefs, and even swim with baby sharks in a safe breeding area.",f,f,f,
17,BWI-BALI-TRANSFER,Banyuwangi Hotel - Ketapang Ferry - Bali Hotel,Returning to the Island of the Gods: Crossing from Banyuwangi to Bali,Banyuwangi Hotel,Bali Hotel,4 - 6 Hours,"Breakfast, check-out, transfer to the port, ferry crossing, land tour in Bali.",Check-out / Tour Ended.,"You will ""lose"" 1 hour when you arrive in Bali. Starting from the Bromo Area (Cemoro Lawang)","Enjoy your last breakfast in Java. After check-out, we will transfer you to Ketapang Harbor for the ferry ride back to Bali. This is a moment of reflection as you leave the mainland of Java. Upon arrival in Gilimanuk, our driver will be ready to take you back to your hotel in Bali.",t,f,f,
19,BROMO-SUB-FINISH,Bromo Area - Bromo Sunrise Tour - Surabaya,Mount Bromo and Return to Surabaya's Civilization,Area Bromo,Surabaya,A full day.,"Bromo sunrise tour, check-out, transfer to Surabaya.",Check-out / Tour Ended.,"If going directly to the airport, make sure your flight is after 5:00 PM.","The day begins with a magical sunrise over Mount Bromo. After a volcanic adventure and a hearty breakfast, we'll drive you back down the mountains to Surabaya, concluding your adventure.",t,f,f,
20,BROMO-MADAKARIPURA-SUB,Bromo Area - Bromo Sunrise Tour - Madakaripura Waterfall - Surabaya,"Two Icons in One Day: Bromo & Madakaripura, Back to Surabaya",Bromo Area,Surabaya,Full day.,"Bromo tour, Madakaripura trekking, transfer to Surabaya.",Check-out / Tour Ended.,"You will get wet in Madakaripura, so bring a change of clothes and sandals.","A day that combines the majesty of Bromo with the splendor of Madakaripura. After enjoying the sunrise, the adventure continues with a refreshing trek through the canyon of the legendary Madakaripura Waterfall, before we return you to Surabaya.",t,f,f,
21,BROMO-BONDOWOSO,Bromo Area - Bromo Sunrise Tour - Bondowoso (Ijen Area),From Two Peaks: The Bromo Adventure Continues to the Foot of Ijen,Bromo Area,Bondowoso (Ijen Area),Full day.,"Bromo tour, long transfer, check-in,Health Check (MCU) at the hotel.",Check-in & Stayin Bondowoso.,"MCU: This is a mandatory procedure from the National Park. The screening is very simple and quick, involving only a basic check of your vital signs such as blood pressure to ensure you are fit to climb. MCU Fee: The MCU is already included in the package","After witnessing the majesty of Bromo, your adventure continues east. This overland journey will take you to the Bondowoso highlands. Upon arrival, you'll undergo a comfortable mandatory medical check-up at your hotel before enjoying a hearty dinner.",t,f,t,
22,BROMO-KETAPANG,Bromo Area - Bromo Sunrise Tour - Ketapang (Ferry to Bali),From Mount Bromo to the Gate of Bali (Ketapang Harbor),Bromo Area,Ketapang (Ferry to Bali),A full day (very long).,"Bromo tour, very long land journey, arrived at the ferry port.",Tour Ended.,This route is very tiring. It's only recommended if you have a very tight schedule.,"A very long but efficient day for those of you who want to head straight to Bali after Bromo. After enjoying the sunrise, you'll traverse almost the entire length of East Java from west to east, ending at Ketapang Harbor.",t,f,f,
23,BROMO-LUMAJANG,Bromo Area - Bromo Sunrise Tour - Lumajang (Tumpak Sewu Area),From Volcano to Waterfall: The Journey from Bromo to the Tumpak Sewu Area,Bromo Area,Lumajang (Tumpak Sewu Area),Full day.,"Bromo tour, transfer to the south, check-in in Lumajang.",Check-in & Stayat Tumpak Sewu.,The road between Bromo and Lumajang can be less smooth.,"A challenging, off-the-beaten-path route. After enjoying the Bromo sunrise, you'll travel south along scenic rural roads to Lumajang to prepare to explore Tumpak Sewu Waterfall.",t,f,f,
24,BROMO-MALANG,Bromo Area - Bromo Sunrise Tour - Malang Area,From Volcanic Landscapes to the Charm of Cool Cities: Bromo to Malang,Bromo,Malang Area,Full day.,"Bromo tour, transfer to Malang, check-in.",Check-in & Stayin Malang.,Malang is a culinary paradise! Ask your guide for recommendations. Starting from the Tumpak Sewu Area (Lumajang),"After an epic adventure on Mount Bromo, enjoy a scenic descent to Malang, a city known for its cool air and creative atmosphere. It's a seamless transition from wilderness to urban comfort.",t,f,f,
25,TUMPAKSEWU-BROMO,Tumpak Sewu Area - Tumpak Sewu Waterfall Tour - Cemoro Lawang (Bromo Area),From the Hidden Paradise of Tumpak Sewu to the Land Above the Clouds of Bromo,Tumpak Sewu Area,Bromo Area,Full day.,"Tumpak Sewu trekking, long overland journey, check-in at Bromo.",Check-in & Stayin Bromo.,Trekking Tumpak Sewu is challenging and wet. Wear appropriate shoes/sandals.,"Your morning will be filled with an unforgettable trekking adventure to the base of Tumpak Sewu Waterfall. Afterward, enjoy a well-prepared lunch before continuing the dramatic climb into the volcanic landscape of Bromo.",t,t,f,
26,TUMPAKSEWU-BONDOWOSO,Tumpak Sewu Area - Tumpak Sewu Waterfall Tour - Bondowoso (Ijen Area),From Tumpak Sewu Canyon to the Foot of Mount Ijen,Tumpak Sewu Area,Bondowoso (Ijen Area),A full day (very long).,"Tumpak Sewu trekking, very long transfer, check-in,Health Check (MCU) at the hotel.",Check-in & Stayin Bondowoso.,"MCU: This is a mandatory procedure from the National Park. The screening is very simple and quick, involving only a basic check of your vital signs such as blood pressure to ensure you are fit to climb. MCU Fee: The MCU is already included in the package","A long day of travel connecting two natural wonders. Your morning will be filled with trekking at Tumpak Sewu, followed by lunch. The afternoon will be spent on the long journey to Bondowoso, where you'll undergo a mandatory medical check-up at your hotel before enjoying a hearty dinner.",t,t,t,
27,TUMPAKSEWU-SURABAYA,Tumpak Sewu Area - Tumpak Sewu Waterfall Tour - Surabaya,Tumpak Sewu Waterfall Adventure and Return to Surabaya,Tumpak Sewu Area,Surabaya,A full day.,"Tumpak Sewu trekking, transfer back to Surabaya.",Check-out / Tour Ended.,"If going directly to the airport, make sure your flight is after 8:00 PM.","Experience the thrill of trekking to one of Indonesia's most beautiful waterfalls in the morning. After a rewarding adventure and a delicious lunch, enjoy a leisurely journey back to the metropolis of Surabaya to conclude your tour.",t,t,f,
28,TUMPAKSEWU-MALANG,Tumpak Sewu Area - Tumpak Sewu Waterfall Tour - Malang,From the Wonders of Tumpak Sewu to the Charm of Malang City,Tumpak Sewu Area,Malang,A full day.,"Tumpak Sewu trekking, transfer to Malang, check-in.",Check-in & Stayin Malang.,This is one of the most time-efficient route combinations. Starting from Jember,"The perfect combination of natural adventure and city comfort. After conquering the Tumpak Sewu trail in the morning and enjoying lunch, you'll make the short journey to the cool city of Malang to rest.",t,t,f,
29,JEMBER-PAPUMA-TOUR,Jember Hotel - Papuma Beach Sunset Tour - Jember Hotel,The Charm of Sunset in Papuma: A Journey to White Sand Beach,Jember Hotel,Jember Hotel,4 - 5 Hours (including travel),"Trip to the beach, enjoy the view, watch the sunset.",Back to Hotel.,Bring a camera to capture the beautiful sunset moments.,"Enjoy your morning with breakfast and free time at the hotel. In the afternoon, we'll travel to the famous Papuma Beach. Enjoy the view of the promontory jutting out into the sea, the soft white sand, and the iconic giant coral reefs. The highlight is witnessing a magical sunset over the Indian Ocean.",t,f,f,
30,JEMBER COCOAPARK TOUR,Jember Hotel - Coffee & Cocoa Technopark Tour - Jember Hotel,Sweet Education: A Visit to the Coffee & Cocoa Science Technopark,Jember Hotel,Jember Hotel,3 - 4 Hours (including travel),"Educational tour of the plantation, see the processing process, taste the products.",Back to Hotel.,A great opportunity to understand where your chocolate and coffee come from.,"After breakfast, delve into the fascinating world of coffee and cocoa in Jember. On this visit, you'll learn about the process of planting, harvesting, and processing coffee and cocoa beans into the products we know. It's a fun, educational and sensory experience.",t,f,f,
31,JEMBER-LUMAJANG,Jember - Lumajang (Tumpak Sewu Area),Onward Transfer: From Jember to Tumpak Sewu Area,Jember,Lumajang (Tumpak Sewu Area),2 - 3 Hours,"Breakfast, check-out, overland travel, check-in in Lumajang.","Check-outfrom Jember,Check-in & Stayat Tumpak Sewu.",This route is ideal after you have finished your activities in Jember in the morning/afternoon. Starting from Malang,"After breakfast at your Jember hotel and perhaps some free time, the journey continues in the afternoon. This route connects downtown Jember with the rural areas of Lumajang, setting you up in a prime location for your Tumpak Sewu Waterfall adventure the next day.",t,f,f,
32,MLG-CITYTOUR,Malang Hotel - Malang City Tour - Malang Hotel,"A Day Full of Color: A Creative Exploration of Batu City, Malang",Malang Hotel,Malang Hotel,7 - 8 Hours,"Visiting thematic villages, flower gardens, natural photo spots, agrotourism.",Back to Hotel.,"Prepare your camera and power bank, every location is very photogenic.","Start the day with breakfast at the hotel, then get ready for a fun day tour exploring the best photo spots and unique attractions in the cool Batu area, from colorful villages, modern flower gardens, to apple picking agrotourism.",t,f,f,
33,MLG-CITYTOUR-LUMAJANG,Malang Hotel - City Tour - Lumajang (Tumpak Sewu Area),The Initial Journey from Malang to the Tumpak Sewu Gate,Malang Hotel,Lumajang (Tumpak Sewu Area),2 - 3 Hours,"Breakfast, check-out, overland travel, check-in in Lumajang.","Check-outfrom Malang,Check-in & Stayat Tumpak Sewu.",This route is perfect if you want to enjoy the morning in Malang before continuing your journey.,"After breakfast, enjoy the morning in Malang. In the afternoon/evening, a short trip will take you south to Lumajang, in preparation for exploring Tumpak Sewu the next day.",t,f,f,
34,MLG-TUMPAKSEWU-BROMO,Malang Hotel - Tumpak Sewu Waterfall Tour - Cemoro Lawang (Bromo Area),"Golden Triangle Adventure: Malang, Tumpak Sewu, and Bromo in One Day",Malang Hotel,Bromo Area,A full day.,"Morning trip, Tumpak Sewu trekking, transfer to Bromo.","Check-outfrom Malang,Check-in & Stayin Bromo.",A busy day but very satisfying because of the time efficiency.,"The most efficient route to conquer two natural icons in one day from Malang. You'll depart early in the morning for a trek to Tumpak Sewu, enjoy lunch, and then continue your ascent to Mount Bromo in the afternoon.",t,t,f,
35,MLG-TUMPAKSEWU-BONDOWOSO,Malang Hotel - Tumpak Sewu Waterfall Tour - Bondowoso (Ijen Area),"Expedition from South to East: Malang, Tumpak Sewu, to Ijen",Malang Hotel,Bondowoso (Ijen Area),A full day (very long).,"Morning trip, Tumpak Sewu trekking, very long transfer,Health Check (MCU) at the hotel.","Check-outfrom Malang,Check-in & Stayin Bondowoso.","MCU: This is a mandatory procedure from the National Park. The screening is very simple and quick, involving only a basic check of your vital signs such as blood pressure to ensure you are fit to climb. MCU Fee: The MCU is already included in the package","This route is for true adventurers with a lot of stamina. Starting in Malang, conquer Tumpak Sewu, enjoy lunch, then traverse much of southern and eastern Java to arrive in Bondowoso. Upon arrival, you'll undergo a mandatory medical check-up at your hotel before enjoying dinner.",t,t,t,
36,MLG-SUB-FINISH,Malang Hotel - Batu City Tour - Surabaya Hotel/Airport,The Last Charm of Malang and Return to Surabaya,Malang Hotel,Surabaya Hotel/Airport,Full Day (around 10-11 hours).,"Batu city tour, transfer to Surabaya.",Check-out / Tour Ended.,"If you plan to go directly to the airport, make sure your flight is after 8:00 PM.","Enjoy the morning exploring the various tourist attractions in Batu and Malang. After a satisfying photo-op and adventure, continue your journey back to Surabaya, either to stay overnight or directly to the airport for your flight home.",t,f,f,
37,SUB-MALANG,Surabaya - Malang,From Port City to Cool Highlands: Overland Journey from Surabaya to Malang,Surabaya,Malang Area,3 - 4 Hours,"Private pickup, road trip, check-in at city hotel.",Check-in & Stay at a hotel in the Malang area.,"Malang is cooler than Surabaya; bring a light jacket and ask your guide for local food recommendations.",Leave the busy streets of Surabaya behind as you travel toward the cooler hills of Malang. This relaxed transfer day sets you up perfectly for exploring Batu and Malang attractions on the following day.,f,f,f,
38,IJEN-BALI,Ijen Area - Ketapang Ferry - Bali Hotel,Leaving the Volcanoes Behind: Crossing from Ijen to Bali,Ijen Area,Bali Hotel,4 - 6 Hours,"Breakfast, check-out, transfer to the port, ferry crossing, land tour in Bali.",Check-out / Tour Ended.,"You will ""lose"" 1 hour when you arrive in Bali due to the time zone change.","After your final breakfast in the Ijen area, we drive you down to Ketapang Harbor to board the ferry to Bali. Enjoy the sea views during the short crossing before continuing overland to your hotel in southern Bali, where your volcano adventure gives way to island relaxation.",t,f,f,
39,IJEN-SURABAYA,Ijen Area - Surabaya,From Highlands to City Lights: Ijen Area to Surabaya,Ijen Area,Surabaya,6 - 7 Hours,"Breakfast, check-out, long overland journey, arrival in Surabaya.",Check-out / Tour Ended.,"This is a long road journey; prepare snacks, music, and a neck pillow for comfort.","Say goodbye to the Ijen highlands and settle in for a scenic drive across East Java. After a long but comfortable journey, you will arrive back in Surabaya, ready for your next flight or an extra night in the city.",t,t,f,
40,IJEN-LUMAJANG,Ijen Area - Lumajang (Tumpak Sewu Area),From Ijen Crater to the Gate of Tumpak Sewu,Ijen Area,Lumajang (Tumpak Sewu Area),5 - 6 Hours,"Breakfast, check-out, overland journey, check-in at Tumpak Sewu homestay.",Check-in & Stay at Tumpak Sewu.,"This is a connecting day before an early waterfall trek; sleep early and prepare a dry bag and sandals for tomorrow.","After breakfast and check-out in the Ijen area, the journey continues south through rural Java toward Lumajang. This travel day positions you right by Tumpak Sewu, ready for an early start to explore one of Indonesia's most spectacular waterfalls.",t,t,f,
41,BROMO-MADAKARIPURA-BONDOWOSO,Bromo Area - Bromo Sunrise Tour - Madakaripura Waterfall - Bondowoso (Ijen Area),From Bromo Sunrise to Canyon Waterfalls and Onward to Ijen,Bromo Area,Bondowoso (Ijen Area),A full day (very long).,"Bromo tour, Madakaripura trekking, long transfer, Health Check (MCU) at the hotel.",Check-in & Stay in Bondowoso.,"You will get wet in Madakaripura, so bring a change of clothes and sandals. MCU: This is the procedure must from the National Park. The screening is very simple and quick, only involving checking your vital signs (such as blood pressure) to ensure you are fit enough to climb. MCU Fee: The MCU is already included in the package","This is one of the most intense connection days in the itinerary. After witnessing sunrise and exploring Bromo, you continue to the lush canyon of Madakaripura for a refreshing waterfall trek before driving deep into the highlands of Bondowoso. Upon arrival, a mandatory health check is carried out at your hotel to clear you for the Ijen climb the next day, followed by a well-deserved dinner.",t,f,t,
42,BROMO-MADAKARIPURA-MALANG,Bromo Area - Bromo Sunrise Tour - Madakaripura Waterfall - Malang,"Volcanoes, Waterfall Canyon, and City Comfort: Bromo & Madakaripura to Malang",Bromo Area,Malang Area,Full day.,"Bromo tour, Madakaripura trekking, transfer to Malang, check-in.",Check-in & Stay in Malang.,"You will get wet in Madakaripura; bring a change of clothes and sandals. It is a busy but very rewarding day, so expect to be tired by the evening.","Start the day with a breathtaking sunrise at Bromo and a visit to the crater. Continue with a dramatic canyon walk at Madakaripura Waterfall before heading to Malang, where you can unwind in a cooler city atmosphere after a full day of adventure.",t,f,f,
43,BROMO-MADAKARIPURA-KETAPANG,Bromo Area - Bromo Sunrise Tour - Madakaripura Waterfall - Ketapang (Ferry to Bali),Bromo & Madakaripura Marathon: From Volcano Sunrise to the Gate of Bali,Bromo Area,Ketapang (Ferry to Bali),A full day (very long).,"Bromo tour, Madakaripura trekking, very long land journey, arrive at Ketapang Harbor.",Tour Ended.,"This route is extremely long and tiring and is only recommended if you have a very tight schedule. You will get wet in Madakaripura, so bring a change of clothes and sandals.","An ultra-efficient connection day for travellers who need to reach Bali quickly. After enjoying the sunrise and crater views at Bromo and trekking the canyon of Madakaripura, you will traverse much of East Java by road, ending at Ketapang Harbor ready for the ferry crossing to Bali on the following leg.",t,f,f,
44,BROMO-MADAKARIPURA-LUMAJANG,Bromo Area - Bromo Sunrise Tour - Madakaripura Waterfall - Lumajang (Tumpak Sewu Area),"From Crater Rim to Canyon and Waterfall Gate: Bromo, Madakaripura & Tumpak Sewu",Bromo Area,Lumajang (Tumpak Sewu Area),A full day (very long).,"Bromo tour, Madakaripura trekking, transfer to Lumajang, check-in.",Check-in & Stay at Tumpak Sewu.,"You will get wet in Madakaripura; bring a change of clothes and sandals, and rest early in Lumajang to prepare for the challenging Tumpak Sewu trek the next day.","This route strings together three icons in one day. Begin with sunrise at Bromo, continue with a canyon walk at Madakaripura, then drive south into the Lumajang highlands. You will arrive at a homestay near Tumpak Sewu, perfectly positioned for tomorrow’s early start.",t,f,f,
45,MLG-BROMO,Malang Hotel - Cemoro Lawang (Bromo Area),Climbing to the Sea of Sand: Transfer from Malang to Mount Bromo,Malang Hotel,Cemoro Lawang (Bromo Area),2 - 3 Hours,"Pickup, scenic overland journey, check-in at mountain hotel.",Check-in & Stay at hotels/homestays in the Bromo area.,Temperatures at Bromo can drop to 10-15°C. Pack a jacket and rest early.,"Depart from your hotel in Malang and drive up into the Tengger highlands. As the air gets cooler and the landscape turns more rugged, you will arrive in Cemoro Lawang, a village perched on the rim of the Bromo caldera, ready for the sunrise tour on the following day.",t,f,f,
