id,route_id,seq,time_or_label,timezone,activity,type,location,from_location,to_location,duration_minutes,name
28,22,3,10:00,"","Check-out and immediately start the journey to Ketapang Harbor (approximately 6-7 hours). Complete hotel check-out promptly, then depart for Ketapang Harbor to connect with the ferry route to Bali.",CheckOutAction,Bromo Hotel,"","",30,Bromo Hotel Check-out
29,22,4,17:00,"","Arriving at Ketapang Harbor, our Java side tour ends here. This is the final arrival step on the Java side; upon reaching Ketapang Harbor, the land transfer segment concludes as scheduled.",TravelAction,Ketapang Harbor,Bromo Area,Ketapang Harbor,390,Transfer to Ketapang Harbor
30,23,1,"02:00","","Starting the Bromo Jeep tour. Begin the scheduled Mount Bromo sunrise Jeep program, completing the morning route in the Bromo area within the allocated touring block.",TouristAttractionVisit,Mount Bromo,"","",420,Bromo Jeep Tour Experience
31,23,2,"09:00","",Back to the hotel for breakfast. Return from the Bromo program to the hotel for breakfast and a short reset before check-out and the next transfer to Lumajang.,TouristAttractionVisit,Bromo Hotel,"","",30,Hotel Breakfast
32,23,3,11:00,"",Check-out hotel. Complete the hotel check-out process at the Bromo hotel and prepare to depart for the Lumajang / Tumpak Sewu area.,CheckOutAction,Bromo Hotel,"","",10,Bromo Hotel Check-out
33,23,4,11:00,"","Travel to Lumajang (about 3-4 hours). Start the overland drive from the Bromo area to Lumajang, shifting from the volcano region toward the Tumpak Sewu accommodation area.",TravelAction,"",Bromo Area,Lumajang,210,Transfer to Lumajang
34,23,5,14:30,"","Arrive at the Tumpak Sewu area, check-in at the homestay. Reach the Tumpak Sewu area and complete the homestay check-in so you can settle in before the next day’s waterfall program.",CheckInAction,Tumpak Sewu Homestay,"","",10,Tumpak Sewu Homestay Check-in
35,20,1,"02:30","","Starting the Bromo Jeep tour. Begin the scheduled Mount Bromo sunrise tour sequence by Jeep, completing the morning program within the allocated time block.",TouristAttractionVisit,Mount Bromo,"","",390,Bromo Jeep Tour Experience
36,20,2,"09:00","",Back to the hotel for breakfast. Return to the Bromo hotel after the morning Jeep tour and take a short breakfast break before the mid-day transition.,TouristAttractionVisit,Bromo Hotel,"","",30,Hotel Breakfast
37,20,3,11:00,"","Check-out, travel to Madakaripura. Complete hotel check-out and begin the transfer toward Madakaripura Waterfall to continue the day’s itinerary sequence.",CheckOutAction,Bromo Hotel,"","",10,Bromo Hotel Check-out
38,20,4,11:30,"","Arrive at Madakaripura and start trekking. This is the main on-site activity window at Madakaripura Waterfall, dedicated to the trek segment as listed in the schedule.",TouristAttractionVisit,Madakaripura Waterfall,"","",180,Madakaripura Trekking
39,20,5,13:30,"","After trekking, have lunch (fees not included). This is the planned meal break after the Madakaripura trekking segment, with dining costs handled personally.",TouristAttractionVisit,Madakaripura Area,"","",60,Lunch After Trek (Own Expense)
40,20,6,14:30,"","Journey to Surabaya. Begin the return transfer from the Madakaripura area to Surabaya, closing the day tour route.",TravelAction,"",Madakaripura,Surabaya,120,Transfer to Surabaya
41,20,7,16:30,"",Arrived in Surabaya. Complete arrival procedures and proceed to the final drop-off point as applicable.,TravelAction,Surabaya,"","","0",Arrival in Surabaya
42,24,1,"02:00","","Starting the Bromo Jeep tour. Begin the early-morning Jeep-based Bromo sunrise program, completing the Mount Bromo touring block as scheduled before continuing onward later in the day.",TouristAttractionVisit,Mount Bromo,"","",420,Bromo Jeep Tour Experience
43,24,2,"09:00","",Back to the hotel for breakfast. Return to the Bromo hotel after the morning program for breakfast and a short rest before check-out and departure to Malang.,TouristAttractionVisit,Bromo Hotel,"","",30,Hotel Breakfast
44,24,3,12:00,"",Check-out hotel. Complete the hotel check-out and prepare for the transfer from the Bromo area to the Malang area.,CheckOutAction,Bromo Hotel,"","",30,Bromo Hotel Check-out
45,24,4,12:00,"","Travel to Malang (about 2-3 hours). Begin the road transfer from the Bromo area to Malang, transitioning from the volcano region to the city accommodation area.",TravelAction,"",Bromo Area,Malang,150,Transfer to Malang
46,24,5,14:30,"","Arrive in Malang, check-in hotel. Reach Malang and complete the hotel check-in process, concluding the day’s relocation after the Bromo sunrise program.",CheckInAction,Malang Hotel,"","",10,Malang Hotel Check-in
47,19,1,"02:00","","Starting the Bromo Jeep tour. Begin the sunrise tour sequence by Jeep in the Mount Bromo area, following the planned route flow for the morning program.",TouristAttractionVisit,Mount Bromo,"","",420,Bromo Jeep Tour Experience
48,19,2,"09:00","",Back to the hotel for breakfast. Return from the Bromo morning program to the hotel and take a short breakfast break before check-out and departure.,TouristAttractionVisit,Bromo Hotel,"","",30,Hotel Breakfast
49,19,3,12:00,"",Check-out from the hotel. Complete the hotel check-out process and prepare for the overland transfer to Surabaya.,CheckOutAction,Bromo Hotel,"","",10,Bromo Hotel Check-out
50,19,4,12:00,"","Journey to Surabaya. Start the road transfer from the Bromo area to Surabaya as scheduled, concluding the Bromo segment for the day.",TravelAction,"",Bromo Area,Surabaya,180,Transfer to Surabaya
51,19,5,15:00,"",Arrive in Surabaya and proceed with the final transfer to your requested drop-off (hotel/airport). Tour ends after drop-off completion.,TravelAction,"",Surabaya,Airport / Hotel,30,Finish at Surabaya City
57,17,1,"09:00",WIB,Breakfast at your hotel. This is the planned morning meal before check-out and the cross-strait transfer back to Bali.,TouristAttractionVisit,Hotel in Banyuwangi,"","",60,Hotel Breakfast
58,17,2,10:00,WIB,Check-out from your hotel. Complete the standard check-out procedure and prepare for departure to the ferry port.,CheckOutAction,Hotel in Banyuwangi,"","",30,Hotel Check-out
59,17,3,10:30,WIB,Arrive at Ketapang Port and board the ferry. This step covers traveling to the port area and proceeding with the ferry boarding flow for the crossing to Gilimanuk.,TravelAction,Ketapang Port,Banyuwangi,Ketapang Port,30,Transfer to Ketapang Port
60,17,4,13:00,"","Arrive at Gilimanuk Harbor, Bali (+1 hour time zone). After disembarking, adjust to the time zone difference and continue onward by road toward the final hotel drop-off area.",TravelAction,Gilimanuk Harbor,Ketapang Port,Gilimanuk Harbor,150,Ferry to Gilimanuk
61,17,5,16:30,"",Estimated arrival at your hotel in southern Bali. Complete the final transfer from Gilimanuk to the requested hotel drop-off point. Tour ends upon arrival.,TravelAction,"",Gilimanuk Harbor,Southern Bali,210,Transfer to Southern Bali
62,16,1,"07:30","","Breakfast at your hotel. This is the planned morning meal time before departure, allowing you to start the snorkeling day with breakfast at the accommodation.",TouristAttractionVisit,Hotel in Banyuwangi,"","",60,Hotel Breakfast
63,16,2,"08:30","","Depart from your hotel in Banyuwangi. Begin the road transfer to Bangsring according to the schedule, arriving at the snorkeling area for preparation.",TravelAction,"",Hotel in Banyuwangi,Bangsring,45,Transfer to Bangsring
64,16,3,"09:15","","Arrive at Bangsring and prepare snorkeling equipment. This step covers getting ready on-site, including arranging and fitting the provided/required gear before entering the water program.",TouristAttractionVisit,Bangsring,"","",30,Snorkeling Preparation
65,16,4,"09:45","","Head to the floating house and start snorkeling activities. This is the main activity window, moving to the floating house area and continuing with the snorkeling session for the allocated duration.",TouristAttractionVisit,Bangsring Floating House,"","",135,Snorkeling at Bangsring
66,16,5,12:00,"","Return to land and rinse yourself. This segment is for ending the water activities, returning to shore, and cleaning up after snorkeling before the return transfer.",TouristAttractionVisit,Bangsring,"","",60,Post-Snorkeling Rinse
67,16,6,13:00,"","Return to hotel or lunch (fee not included). This final segment covers the wrap-up and transfer back toward the Banyuwangi hotel, with an optional lunch stop noted as not included.",TravelAction,"",Bangsring,Hotel in Banyuwangi,60,Return to Hotel
68,14,1,"00:00","","Follow the entire Ijen tour series. This block represents the full scheduled Ijen program as arranged for the day, completed in sequence before the onward transfer to the Bromo area later.",TouristAttractionVisit,Ijen Crater,"","",540,Ijen Tour Experience
69,14,2,11:00,"","Check-out from the Ijen area hotel. This is the formal check-out step after finishing the Ijen tour series, preparing for lunch and the transfer toward the Bromo area.",CheckOutAction,Bondowoso City,"","",10,Ijen Hotel Check-out
70,14,3,11:30,"","Enjoy lunch at a local restaurant (included). This is the planned meal break after hotel check-out, allowing time to sit down, eat, and reset before the overland drive to Bromo.",TouristAttractionVisit,Local Restaurant,"","",60,Lunch at Restaurant
71,14,4,12:30,"",Start the journey to the Bromo area (about 3-4 hours). This is the main overland transfer segment from the Ijen-area base (Bondowoso City) to the Bromo area accommodation zone.,TravelAction,"",Bondowoso City,Bromo Area,210,Journey to Bromo
72,14,5,16:00,"","Arrive in Bromo area, check-in hotel. This step covers arrival at the accommodation and completing check-in so you can rest and prepare for the next day’s Bromo program.",CheckInAction,Hotel in Bromo Area,"","",10,Bromo Hotel Check-in
73,15,1,"00:00","","Take the Ijen tour. This block represents completing the scheduled Ijen program for the day, finished in full before the onward travel sequence to Jember and Papuma Beach.",TouristAttractionVisit,Ijen Crater,"","",540,Ijen Tour
74,15,2,12:00,"","Check out hotels in the Ijen area. This is the departure step from the Ijen-area accommodation after completing the Ijen tour block, transitioning to lunch and onward travel.",CheckOutAction,Bondowoso City,"","",10,Ijen Hotel Check-out
75,15,3,12:00,"","Lunch at a local restaurant (included). This is the planned meal stop after check-out, providing time to eat before the transfer toward Jember.",TouristAttractionVisit,Bondowoso City,"","",60,Lunch at Restaurant
76,15,4,13:00,"",Journey to Jember. This segment is the overland transfer from the Ijen-area base (Bondowoso City) to Jember as scheduled for the day’s long itinerary.,TravelAction,"",Bondowoso City,Jember,60,Journey to Jember
77,15,5,14:00,"","Arrive in Jember, check-in, then head straight to Papuma Beach. This step covers arriving at the Jember hotel, completing check-in efficiently, and continuing onward to the beach for the late-afternoon program.",CheckInAction,Hotel in Jember,"","",30,Jember Hotel Check-in
78,15,6,17:00,"","Enjoying the sunset. This is the dedicated time window at Papuma Beach to relax, take photos, and experience the late-day atmosphere during sunset hour.",TouristAttractionVisit,Papuma Beach,"","",60,Papuma Sunset Experience
79,15,7,18:00,"","Back to the hotel in Jember. This is the return transfer segment after the sunset stop, concluding the day’s coastal visit upon arrival back at the Jember accommodation.",TravelAction,"",Papuma Beach,Hotel in Jember,60,Return to Jember Hotel
86,30,1,"08:00","","Breakfast at your hotel. Start the morning with breakfast at the hotel, preparing for the scheduled educational visit later in the morning.",TouristAttractionVisit,Hotel in Jember,"","",60,Hotel Breakfast
87,30,2,"09:00","",Depart from your hotel in Jember. Begin the short transfer from the hotel to the Technopark location to start the scheduled visit.,TravelAction,"",Hotel in Jember,Technopark,45,Transfer to Technopark
88,30,3,"09:45","",Arrive at Technopark and start the tour with a local guide.,TouristAttractionVisit,Technopark,"","",120,Technopark Guided Tour
89,30,4,11:45,"",Product tasting and souvenir shopping sessions.,TouristAttractionVisit,Technopark,"","",45,Tasting and Shopping
90,30,5,12:30,"",Back to Jember.,TravelAction,"",Technopark,Jember,45,Return to Jember
91,31,1,"03:30","","Check out hotel. Complete the standard hotel check-out process in Jember, confirm departure readiness, and prepare for the early transfer toward the early Tumpak Sewu (Lumajang) area.",CheckOutAction,Hotel in Jember,"","",10,Check out from hotel
92,31,2,"03:30","","Transfer to Tumpak Sewu waterfall. Depart from the hotel in Jember and begin the direct overland drive to the Tumpak Sewu area, using the allocated travel window for the point-to-point transfer.",TravelAction,"",Hotel in Jember,Tumpak Sewu,180,Journey to Tumpak Sewu
93,31,3,"06:30","","Arrive at the Tumpak Sewu area (Lumajang), and explore Tumpak Sewu Waterfall. Use this activity block for the on-site waterfall experience in the Tumpak Sewu area, following the planned visit duration for exploration and viewing as scheduled.",TouristAttractionVisit,Tumpak Sewu Area,"","",240,Explore Tumpak Sewu Waterfall
94,29,1,14:00,"","Arrive in Jember, check-in, then head straight to Papuma Beach. Complete a quick hotel check-in on arrival in Jember as scheduled, preparing for the afternoon departure to Papuma Beach for the sunset-focused program.",CheckInAction,Hotel in Jember,"","",10,Jember Hotel Check-in
95,29,2,14:00,"",Depart from your hotel in Jember. Begin the road transfer from the Jember hotel to Papuma Beach to start the late-afternoon coastal visit.,TravelAction,"",Hotel in Jember,Papuma Beach,75,Transfer to Papuma Beach
96,29,3,16:15,"","Arriving at Papuma Beach, take a walk along the beach. Use this time for a relaxed beach walk, photo opportunities, and enjoying the coastal atmosphere before the dedicated sunset window.",TouristAttractionVisit,Papuma Beach,"","",65,Beach Walk at Papuma
97,29,4,17:20,"","Enjoy the sunset moment. This is the main sunset viewing window at Papuma Beach, allowing time to settle into a viewpoint and capture the changing evening light.",TouristAttractionVisit,Papuma Beach,"","",40,Papuma Sunset Experience
98,29,5,18:00,"","Back to Jember. Depart Papuma Beach and return by road to Jember, concluding the sunset outing upon arrival back in town.",TravelAction,"",Papuma Beach,Jember,60,Return to Jember
99,32,1,"08:00","","Breakfast at your hotel. Start the day with breakfast at the accommodation, allowing time to prepare for the scheduled city tour departure.",TouristAttractionVisit,Hotel in Malang,"","",60,Hotel Breakfast
100,32,2,"09:00","","Pick up at your hotel in Malang. Meet at the hotel pick-up point, confirm the day’s route flow, and begin the city tour sequence from Malang.",TravelAction,"",Hotel in Malang,"",30,Malang Hotel Pick-up
101,32,3,"09:30","","Visiting Jodipan Colorful Village. Arrive at the village area and spend the allotted time walking through the colorful neighborhood setting, focusing on the scheduled visit and photo opportunities during this stop.",TouristAttractionVisit,Jodipan Colorful Village,"","",60,Visit Jodipan Colorful Village
102,32,4,11:00,"","Exploring San Terra De Laponte. Use this visit block to explore the attraction area as scheduled, following the on-site flow for sightseeing and taking photos within the allocated time window.",TouristAttractionVisit,San Terra De Laponte,"","",120,Explore San Terra De Laponte
103,32,5,13:00,"","Lunch in Batu (cost not included). Take the planned meal break in Batu, with time allocated to choose food and rest briefly before continuing the afternoon stops.",TouristAttractionVisit,Batu,"","",60,Lunch in Batu
104,32,6,14:00,"","Take photos at Taman Langit & Goa Pinus. This segment is dedicated to visiting both photo-focused spots as listed, using the scheduled duration to explore viewpoints and complete the planned photo session.",TouristAttractionVisit,Taman Langit & Goa Pinus,"","",90,Photo Session at Taman Langit
105,32,7,16:00,"","Visiting Apple Picking Agrotourism. Use this stop to experience the apple-picking agrotourism visit as scheduled, including time for the on-site activity flow within the allotted duration.",TouristAttractionVisit,Apple Picking Agrotourism,"","",60,Visit Apple Picking Agrotourism
106,32,8,17:00,"","Back to the hotel in Malang. Conclude the city tour route and return by road to the hotel, completing the day’s program upon arrival back at the accommodation.",TravelAction,"",Batu,Malang,60,Return to Malang Hotel
107,33,1,"08:00","",Breakfast at the hotel and free time. This morning block is reserved for breakfast and unstructured time at the Malang hotel before the scheduled midday pickup and transfer to the Tumpak Sewu area.,TouristAttractionVisit,Malang Hotel,"","",240,Breakfast and Free Time
108,33,2,12:00,"",Pickup at your hotel/location in Malang. Meet at the agreed pickup point in Malang and begin the overland transfer to the Tumpak Sewu area (Lumajang) as scheduled.,TravelAction,"",Malang,Tumpak Sewu Area,150,Malang to Tumpak Sewu Transfer
109,33,3,14:30,"","Arrive at the Tumpak Sewu area (Lumajang), check-in at the homestay. Arrive in the accommodation zone near Tumpak Sewu and complete the homestay check-in process, preparing for the waterfall program.",CheckInAction,Tumpak Sewu Homestay,"","",10,Check-in Tumpak Sewu Homestay
110,36,1,"08:00","",Check-out from Malang hotel. Complete check-out procedures and prepare for departure to begin the day tour route before the return to Surabaya.,CheckOutAction,Malang Hotel,"","",10,Check-out Malang Hotel
111,36,2,"08:30","","Starting the tour to the Batu area. Begin the transfer from Malang toward Batu City, starting the day’s touring sequence in the Batu area within the allocated time block.",TravelAction,Batu City,"","",240,Malang to Batu Tour Start
112,36,3,12:30,"","Lunch in Batu (cost not included). Take the planned lunch break in Batu, with time to dine and rest before departing toward Surabaya later in the day.",TouristAttractionVisit,Batu,"","",90,Lunch in Batu
113,36,4,14:00,"","Transfer to Surabaya City. Depart Batu and start the overland transfer to Surabaya, shifting from the Batu area touring segment to the final return leg.",TravelAction,"",Batu,Surabaya,150,Batu to Surabaya Transfer
114,36,5,16:30,"","Arrive in Surabaya, transfer to hotel/airport. Complete arrival in Surabaya and proceed with the final drop-off to the requested hotel or airport location. Tour ends after drop-off.",TravelAction,"","",Surabaya,30,Arrival in Surabaya
115,35,1,"03:30","",Check out and heading to Tumpak Sewu. Complete early check-out in Malang and begin the direct transfer to the Tumpak Sewu area to start the day’s waterfall program on schedule.,TravelAction,"",Malang,Tumpak Sewu,180,Malang to Tumpak Sewu Transfer
116,35,2,"06:30","","Starting the Tumpak Sewu trekking. Begin the scheduled trekking session at Tumpak Sewu, using the allocated time for the on-site waterfall-area experience before the long transfer continues.",TouristAttractionVisit,Tumpak Sewu,"","",240,Tumpak Sewu Trekking
117,35,3,10:30,"","After trekking, have a quick lunch (included). Take the included lunch break after trekking, keeping the stop efficient to match the day’s long-distance transfer schedule.",TouristAttractionVisit,Tumpak Sewu Area,"","",60,Quick Lunch after Trekking
118,35,4,11:30,"","Start the very long journey to Bondowoso (about 5-6 hours). Depart from the Tumpak Sewu area and begin the extended overland transfer to Bondowoso (Ijen area), using the scheduled travel block for the cross-region drive.",TravelAction,"",Tumpak Sewu,Bondowoso,300,Tumpak Sewu to Bondowoso Journey
119,35,5,16:30,"","Estimated arrival in Bondowoso, check-in hotel. Arrive in Bondowoso and complete the hotel check-in process after the long drive, preparing for the next day’s Ijen schedule.",CheckInAction,Bondowoso Hotel,"","",10,Check-in Bondowoso Hotel
120,35,6,17:00,"",A health screening will be conducted by medical personnel directly at your hotel. This is a brief vital-signs screening step scheduled as a prerequisite before the Ijen climbing program.,TouristAttractionVisit,Bondowoso Hotel,"","",15,Ijen health screening
121,35,7,18:00,"","Dinner is served at the accommodation (included). End the day with the included dinner at the hotel/accommodation, allowing time to rest after trekking and long-distance travel.",TouristAttractionVisit,Bondowoso Hotel,"","",60,Dinner at Accommodation
122,34,1,"03:30","","Pick up at your hotel in Malang, direct to Tumpak Sewu. Meet for early pickup in Malang and start the direct transfer to the Tumpak Sewu area, using the scheduled travel window for the morning approach.",TravelAction,"",Malang,Tumpak Sewu,180,Malang to Tumpak Sewu Transfer
123,34,2,"06:30","","Arrive and start trekking to the base of Tumpak Sewu. Begin the main trekking session on arrival, following the planned on-site route to reach the waterfall base area within the allotted activity block.",TouristAttractionVisit,Tumpak Sewu,"","",240,Tumpak Sewu Trekking
124,34,3,10:30,"","After trekking, have lunch (included). Take the included lunch break after completing the trekking session, allowing time to sit down and recover before the onward transfer.",TouristAttractionVisit,Tumpak Sewu Area,"","",60,Lunch after Trekking
125,34,4,23:30,"",Starting the journey to the Bromo area. Depart from the Tumpak Sewu area and begin the overland transfer to the Bromo accommodation zone as scheduled for the day’s route.,TravelAction,"",Tumpak Sewu,Bromo Area,240,Tumpak Sewu to Bromo Journey
126,34,5,16:30,"","Arrive at Bromo, check-in hotel. Arrive in the Bromo area and complete the hotel check-in process, concluding the day’s transition and preparing for the next schedule.",CheckInAction,Bromo Hotel,"","",10,Check-in Bromo Hotel
127,9,1,"08:00","",Breakfast at the hotel and free time until check-out time. This block is reserved for your morning meal and unstructured time at the hotel before the scheduled airport transfer.,TouristAttractionVisit,Hotel,"","",60,Breakfast and Free Time
128,9,2,"09:00","",Pick up at your hotel lobby (planned 3 hours before your flight departure time) and transfer to Juanda Airport. This segment covers the direct road transfer to the airport for your departure connection.,TravelAction,"",Hotel,Juanda Airport,60,Transfer to Juanda Airport
129,3,1,"09:00","",Morning pickup at your location in Surabaya. Meet our team at the agreed pick-up point and begin the long overland transfer to Banyuwangi (Ijen area) following the day’s route schedule.,TravelAction,"",Surabaya,Banyuwangi,210,Surabaya to Banyuwangi Transfer
130,3,2,12:30,"","Stop for lunch at a beachside restaurant (cost not included). This is the planned meal stop on the way to Banyuwangi, with an extended break window to dine and rest before continuing the transfer.",TouristAttractionVisit,Beachside Restaurant,"","",210,Lunch at Beachside
131,3,3,16:00,"","Arrive in Banyuwangi and proceed with hotel check-in. This is the arrival step at your accommodation after the transfer, followed by the standard check-in process.",CheckInAction,Banyuwangi Hotel,"","",30,Check-in Banyuwangi Hotel
132,3,4,17:00,"","A health screening will be conducted by medical personnel directly at your hotel. This is the scheduled Ijen health screening session listed in the itinerary, conducted at the hotel.",TouristAttractionVisit,Banyuwangi Hotel,"","",120,Ijen health screening
133,3,5,19:00,"","Dinner is served at the accommodation or a nearby restaurant (included). This is the planned dinner time at the end of the travel day, provided as an included meal.",TouristAttractionVisit,Banyuwangi Hotel,"","",60,Dinner at Accommodation
134,2,1,11:00,"","Pickup by our team at your location in Surabaya. After meeting at the confirmed pick-up point, begin the overland transfer toward Bondowoso (Ijen area) as scheduled in the route plan.",TravelAction,"",Surabaya,Bondowoso,300,Surabaya to Bondowoso Transfer
135,2,2,13:30,"","Stop at a local restaurant for lunch (cost not included). This is the planned meal break during the transfer, allowing time to order food and rest briefly before continuing to Bondowoso.",TouristAttractionVisit,Local Restaurant,"","",60,Lunch at Local Restaurant
136,2,3,16:00,"",Arrive in Bondowoso and complete the hotel check-in process. This step covers arrival at the accommodation and the basic check-in procedure so you can settle in after the transfer.,CheckInAction,Bondowoso Hotel,"","",10,Check-in Bondowoso Hotel
137,2,4,17:00,"",A health screening will be conducted by medical personnel directly at your hotel. This is a scheduled screening session as listed in the itinerary to complete the required check before the Ijen-area program.,TouristAttractionVisit,Bondowoso Hotel,"","",90,Ijen health screening
138,2,5,18:00,"","Dinner is served at the accommodation or a nearby restaurant (included). This is the planned dinner time after the transfer and screening, scheduled as an included meal for the day.",TouristAttractionVisit,Bondowoso Hotel,"","",60,Dinner at Accommodation
