raw_id,file_name,ingest_status,wiki_source_page,ingest_date,ingest_type,notes
R018,Madakaripura_Waterfalls.gpx,ingested,sources/gpx-destination-data,2026-05-11,bundled,Data in destination pages; source page 2026-05-25
R019,Pantai_dan_Tanjung_Papuma.gpx,ingested,sources/gpx-destination-data,2026-05-11,bundled,Data in destination pages; source page 2026-05-25
R020,the_GEO_and_AEO_recommendations.md,batch-ingested,sources/geo-aeo-strategy-2026-05,2026-05-24,batch,Part of 4-file GEO/AEO synthesis
R021,Java Volcano Tour Optimization Audit.md,batch-ingested,sources/geo-aeo-strategy-2026-05,2026-05-24,batch,Part of 4-file GEO/AEO synthesis
R022,JVTO SEO Audit — Full Site Review.md,batch-ingested,sources/seo-audit-2026-05,2026-05-17,batch,Confirmed duplicate of seo-audit-2026-05
R023,Java Volcano Tour SEO Audit (1).md,batch-ingested,sources/seo-audit-2026-05,2026-05-17,batch,SEO audit variant
R024,SEO Audit for Java Volcano Tours.md,batch-ingested,sources/geo-aeo-strategy-2026-05,2026-05-24,batch,GEO discoverability audit
R025,SEO and UX for Java Volcano Tours.md,batch-ingested,sources/seo-ux-integration-2026-05,2026-05-24,batch,SEO+UX convergence
R026,Website Data Transformation to EAV.md,batch-ingested,sources/eav-ai-optimization-2026-05,2026-05-24,batch,EAV transformation report
R027,Optimasi AI Java Volcano Tour Operator.md,batch-ingested,sources/eav-ai-optimization-2026-05,2026-05-24,batch,AI optimization (BI)
R028,Competitor Analysis for Website Redesign (1).md,batch-ingested,sources/competitor-design-analysis-2026-05,2026-05-24,batch,MBA + G Adventures benchmark
R029,Analisis Data dan Konsolidasi WHY JVTO.md,batch-ingested,sources/why-jvto-trust-architecture,2026-05-24,batch,Part of 4-file WHY JVTO synthesis
R030,Why_JVTO_Page_Registry_ Technical & Content Blueprint.md,batch-ingested,sources/why-jvto-trust-architecture,2026-05-24,batch,Part of 4-file WHY JVTO synthesis
R031,Integrasi Data SDM ke Strategi Why JVTO.md,batch-ingested,sources/why-jvto-trust-architecture,2026-05-24,batch,Part of 4-file WHY JVTO synthesis
R032,Transformasi Rekomendasi Menjadi Registry.md,batch-ingested,sources/why-jvto-trust-architecture,2026-05-24,batch,Part of 4-file WHY JVTO synthesis
R033,The_JVTO_Digital_Trust_Fortress__A_Technical___Content_Implementation_Blueprint.md,batch-ingested,sources/digital-trust-fortress-blueprint,2026-05-24,batch,Next.js architecture blueprint
R034,____WIREFRAME_BLUEPRINT__HALAMAN__WHY_JVTO___THE_HUB_.md,batch-ingested,sources/why-jvto-trust-architecture,2026-05-24,batch,WHY JVTO wireframe (BI/EN hybrid)
R035,Laporan Konsolidasi Strategis_ Transformasi Aset JVTO Menjadi Data Terstruktur.md,batch-ingested,sources/crew-strategy-integration-2026-05,2026-05-24,batch,Crew HR strategy integration
R036,gemini-code-1779633053483.html,ingested,sources/gemini-trust-fortress-mockup,2026-05-25,single,Design reference only
R037,UX_UI Design Review for JVTO (1).md,batch-ingested,sources/seo-ux-integration-2026-05,2026-05-24,batch,UX/UI strategic analysis
R038,FINANCE/1 Day Bromo Midnight Experience from Surabaya.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R039,FINANCE/1 Day Surabaya - Mount Bromo Sunrise Tour.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R040,FINANCE/2 Day Bromo Sunrise Adventure from Surabaya.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R041,FINANCE/2 Day Ijen Blue Fire Expedition from Surabaya.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R042,FINANCE/3 Day Bromo, Madakaripura Waterfall & Ijen Overland from Surabaya to Bali.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R043,FINANCE/3 Day Ijen, Bromo & Madakaripura Waterfall Discovery from Surabaya.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R044,FINANCE/3 Day Ijen, Bromo & Madakaripura Waterfall Journey from Bali to Surabaya.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R045,FINANCE/3 Day Taman Safari Prigen, Bromo & Madakaripura Family Adventure from Surabaya.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R046,FINANCE/4 Day Ijen, Bromo & Madakaripura Waterfall Expedition from Surabaya.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R047,FINANCE/4 Day Ijen, Papuma Beach, Tumpak Sewu & Bromo Expedition from Bali to Surabaya.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R048,FINANCE/4 Day Ijen, Papuma Beach, Tumpak Sewu & Bromo Journey from Surabaya.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R049,FINANCE/4 Day Tumpak Sewu, Bromo & Ijen Adventure from Surabaya to Bali.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R050,FINANCE/5 Day Ijen, Bromo, Madakaripura & Malang City Adventure from Surabaya.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R051,FINANCE/5 Day Ijen, Papuma Beach, Tumpak Sewu & Bromo Discovery from Bali to Surabaya.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R052,FINANCE/5 Day Ijen, Papuma Beach, Tumpak Sewu & Bromo Nature Trip from Surabaya.xlsx,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,→ wiki/finance/package-costs
R053,FINANCE/rate_cards/Copy of accommodation-rate-card.json,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,23 hotels — authoritative
R054,FINANCE/rate_cards/Copy of activities-rate-card.json,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,27 activities — authoritative
R055,FINANCE/rate_cards/Copy of crew-roles-rate-card.json,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,5 crew roles — authoritative
R056,FINANCE/rate_cards/Copy of other-activities-rate-card.json,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,10 ops costs — authoritative
R057,FINANCE/rate_cards/Copy of vehicle-rate-card.json,batch-ingested,sources/finance-rate-cards,2026-05-25,batch,6 vehicle types — authoritative
R058,Mount Ijen Safety and Support Resource Mapping.xlsx,ingested,sources/ijen-safety-resource-mapping,2026-05-26,single,5 safety categories → kawah-ijen + operational-facts + medical-screening
R059,Tourist Accidents at Kawah Ijen and Surrounding Areas.xlsx,ingested,sources/ijen-tourist-accidents,2026-05-26,single,7 incidents → kawah-ijen + medical-screening (public_sensitive)
